track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
0qnEQN2Af0f2Rsk3SWlM5B,0.663,0.442,0.0,0.872,-5.303,75.03,132.693
4QXhRjZacZ1gZUeL7Ukktw,0.5405,0.2,0.0955,0.802,-11.41,188.214,361.107
6VrjF67WFChXh8uYYBfeRr,0.602,0.35,0.533,0.473,-6.773,93.171,241.013
5Hz6aGrZZizNBoJ6kE6Rqi,0.729,0.346,0.0102,0.603,-5.577,115.142,266.008
4Cmpnt9GsAoF60tEdmpG3j,0.5655,0.53,7.67e-06,0.192,-6.263,90.021,292.16
1hzIqi5jrM3fKqMI8Bhjvo,0.685,0.158,0.0,0.755,-5.512,115.012,250.827
5pkMrPKCZ7gMYacSzFBZCl,0.7485,0.0954,0.00679,0.728,-8.241,120.254,279.456
5BE3DOk0C26VCMxxT84bec,0.77,0.0108,5.74e-06,0.738,-9.759,93.934,259.627
69uJi5QsBtqlYkGURTBli8,0.3685,0.846,9.65e-05,0.113,-16.728,124.689,332.96
6Ceejf3zBXvAhIY9DbP1Pr,0.7175,0.0631,2.13e-06,0.954,-13.478,102.633,227.573
6JssQFiBCi6ZcE6060S9A7,0.5365,0.538,4.19e-06,0.551,-8.431,125.036,239.24
0lJ9Ay3OhcBA9vvAQfIium,0.573,0.00324,1.87e-06,0.568,-7.718,113.009,240.733
4UDxOH4I6aZYrQiTcSV9oB,0.5755,0.118,4.82e-06,0.372,-7.21,83.374,256.227
00U0pedRUMEzREpyRqbVT6,0.6459999999999999,0.628,0.017,0.85,-9.698,167.796,263.813
1Rvl8qsKJurfFTyWLBI9ib,0.6990000000000001,0.0528,0.0,0.776,-7.269,147.518,249.52
1UtxIyLkTt7iR5TcWLt8IT,0.5780000000000001,0.0217,6.53e-06,0.558,-8.105,189.704,220.733
2uu8gzmiJo1F3d8L5NiUY0,0.6915,0.131,0.00388,0.671,-6.006,112.488,157.747
7aR1QwbQa26sjDXiVMLik4,0.737,0.0393,0.00294,0.825,-8.605,172.455,208.827
1ZoHRnS5U4m7V5pgvFiK1N,0.6315000000000001,0.000639,1.51e-06,0.442,-7.405,153.01,236.067
5yVqBhvmi3sBahhaSYpl27,0.7035,0.012,0.0,0.663,-6.22,155.88,227.227
1p7w5NP0wxPZ7hXxC4fVB0,0.6825,0.000847,0.00248,0.645,-5.401,134.792,231.773
59IMJ1XHmOXRFE072RQafl,0.676,0.0645,0.0,0.652,-6.653,124.396,230.8
2UVLuddklEVak5PXgC7baA,0.7875,0.0153,0.0196,0.924,-4.053,121.554,231.787
5aQhE8nksoDjPFQQExUQfs,0.7715000000000001,0.238,0.0012,0.868,-7.225,114.886,392.867
7eBky33UQEUKp0sNhcU6rW,0.633,0.028,0.0,0.503,-7.564,188.012,255.053
2KUXfKopU8tHX5ynlhK9OS,0.752,0.00832,0.0,0.7,-6.576,102.026,268.36
1q079w75oWgmvtepDOMBzQ,0.571,0.0129,0.00193,0.624,-9.226,91.105,272.973
7mP4fGwTDxoTOfQtxeAiJS,0.8345,0.0845,0.000262,0.966,-4.933,113.804,237.12
5DiXcVovI0FcY2s0icWWUu,0.6975,0.183,3.06e-06,0.726,-6.542,141.621,272.293
7IsEXPk6qqt30FfQv4SZMa,0.764,0.143,9.67e-06,0.908,-5.648,120.837,257.093
3rR0XoCFCtPkGr1SOJGABW,0.4855,0.359,0.0,0.402,-5.574,136.591,266.28
0760lqVK6PJlO1FZLYjPT6,0.7250000000000001,0.0387,0.0,0.933,-5.772,99.945,217.853
3AyMvFH3AppsBxtV0FE6DH,0.749,0.0216,0.00431,0.691,-7.905,99.738,292.333
0BfcEHpbpAvvZok7OnIHEN,0.756,0.0834,0.00258,0.975,-4.496,109.916,219.867
1t2Hq2WIBcZINOEnK6mdJG,0.62,9.24e-05,5.46e-05,0.583,-8.786,119.567,239.227
7GbqE3MlkKosIaCvf50JRK,0.7805,0.0144,1.49e-05,0.653,-3.769,109.919,264.893
14uiLlBzEQOqXxJRa7S4cL,0.7945,0.0203,4.02e-06,0.949,-3.205,118.977,232.44
5prTs2HAw2G4idHZyeFp8o,0.5465,0.195,0.0,0.184,-8.179,130.276,269.787
2BPfKiV9U0CR1dpUgeUwuH,0.7430000000000001,0.193,0.000188,0.965,-5.682,108.804,215.773
5kg57mIZxVEy2vBhk1aPMb,0.7805,0.3,0.00333,0.5,-5.868,111.968,251.6
